Bis, The End Starts Today
Lew Lewis, Wait
Garbage, Bad Boyfriend ('23 Remix)
Frank Zappa, Dirty Love
David Bowie, Red Sails
Social Distortion, Ring of Fire
The J. Geils Band, It Ain't What You Do (It's How You Do It!)
AC/DC, Have A Drink On Me
Ferdinand Jay Smith III, HBO Feature Presentation ("Flight Over The City")
Chicago, Does Anybody Really Know What Time It Is?
R.E.M., Underneath The Bunker (Instrumental Loop)
Violent Femmes, Prove My Love
The Cure, Jumping Someone Else's Train
Brian Eno, Seven Deadly Finns
Mary's Danish, Leave It Alone
Suzanne Vega, Fat Man and Dancing Girl
Björk, Venus as a Boy
Tori Amos, The Happy Worker
U2, Seconds
The Chills, Heavenly Pop Hit
The La's, There She Goes
The Doors, Peace Frog (Instrumental)
R.E.M., Finest Worksong (Other Mix)
The Levellers, Liberty Song
Billy Bragg, Sexuality
The Go-Betweens, Cattle and Cane
Apostle Of Hustle, National Anthem of Nowhere
Modest Mouse, Ocean Breathes Salty
Diana Ross &amp; The Supremes, Back In My Arms Again
The Beta Band, Dry The Rain
Morcheeba, A Well Deserved Break
Robyn Hitchcock &amp; The Egyptians, Mellow Together (LP Version)
Crime &amp; The City Solution, The Adversary
Depeche Mode, Never Let Me Down Again
The Flaming Lips, What Is the Light?
Talking Heads, Sax And Violins
Air, Kelly Watch The Stars
The Cure, Catch
Indigo Girls, Three Hits
Edie Brickell &amp; New Bohemians, What I Am
The Chills, Submarine Bells
Sinéad O'Connor, I Am Stretched On Your Grave
Bacao Rhythm &amp; Steel Band, P.I.M.P.
Ivy, Streets Of Your Town
The Modern Lovers, Dignified And Old
Belly, Angel
Throwing Muses, Devil's Roof
Tribe, Rescue Me
A Tribe Called Quest, We Can Get Down
The Pharcyde, Soul Flower (Remix)
Digable Planets, Nickel Bags
Nice &amp; Smooth, Sometimes I Rhyme Slow
The Tinklers, The Future / Dinosaurs Are Better
Think Tree, Hire A Bird
Meryn Cadell, The Sweater
Beastie Boys, Professor Booty
Stereo MC's, Chicken Shake
Morphine, Mary Won't You Call My Name
The Lightning Seeds, Pure
XTC, Senses Working Overtime
U2, Trip Through Your Wires
Fishbone, Sunless Saturday
Liz Phair, 6'1"
The Magnetic Fields, Two Characters In Search Of A Country Song
The Mountain Goats, The Best Ever Death Metal Band in Denton
Chuck Mangione, Cannonball Run Theme
Simon &amp; Garfunkel, I Am a Rock
Mary Lou Lord, His Indie World
Belle &amp; Sebastian, Get Me Away from Here, I’m Dying
Concrete Blonde, Tomorrow, Wendy
MTM, MTM Kitty
Penguin Cafe Orchestra, Music For a Found Harmonium
Mercury Rev, Delta Sun Bottleneck Stomp (Early Rough Version)
His Name Is Alive, How It Goes (How It's Gotta Be)
Stereolab, The Brush Descends the Length
The Rondelles, Do It for Me
Refused, Summerholidays Vs. Punkroutine
Prolapse, <http://Fob.com|Fob.com> (Single Mix)
Blonde Redhead, Distilled
Sunny Day Real Estate, Every Shining Time You Arrive
Knapsack, Skip the Details
The Gloria Record, Grace, the Snow Is Here
The Promise Ring, Best Looking Boys
The Afghan Whigs, Crazy
Son Volt, Medicine Hat
Bright Eyes, June On the West Coast
764-Hero, Ward's Country
Cat Power, Cross Bones Style
Silver Jews, Honk If You're Lonely
Belle and Sebastian, The Boy With the Arab Strap
PJ Harvey, A Perfect Day Elise
The Cardigans, Erase / Rewind
Ultimate Fakebook, Far, Far Away
Hole, Celebrity Skin
Remy Zero, Prophecy
Beck, Cold Brains
Eels, Last Stop: This Town
Soul Coughing, Circles
Cake, Let Me Go
Nada Surf, Bad Best Friend
Rob Zombie, Dragula
Parannoul, Analog Sentimentalism
Laurel Halo, Abandon
Weezer, El Scorcho
Madonna, Cherish
Anthrax, 1000 Points of Hate
Jonathan Richman, Amorcito Corazon
ZelooperZ, Van Gogh's Left Ear
gxllium, cats
The Magnetic Fields, You And Me And The Moon
Arca, Rosalia, KLK
Stan Getz, All God's Chillun Got Rhythm
Alice in Chains, Grind
JPEGMAFIA, Thug Tears
Wynton Marsalis, Soon All Will Know
Echo &amp; The Bunnymen, Ocean Rain [Live]
Lil Yachty, Dirty Mouth
B12, Hall of Mirrors
Early Worm, Teddy Ft. Jeremy McCabe
Clams Casino, Vince Staples, All Night
Hands of God, No Mercy
Placid Angels, Ocean (London Mix)
Rónán Ó Snodaigh, Sun Fish
toasty, The Knowledge
I. Air De L'Ordre. Lent Et Détaché Sans Sécheresse, Trois Sonneries De La Rose + Croix
Clarence Gatemouth Brown, What am I Living For
Talking Heads, People Like Us
Sleater-Kinney, Oh!
Lil Peep &amp; Lil Tracy, WitchBlades
Babyfather, Escrow 2
Babyfather, Escrow 3
Mark Hamilton, Hello Bonjour Chéz Beets #70
Babybird, 70
The Cure, Alone
King Hannah, New York Let’s Do Nothing
The Strangler, Always The Sun
Sunflower Bean, Twenty Two
Will Dailey, Make Another Me
Phoebe Bridgers, Kyoto
Spiritualized, Soul On Fire
Sebadoh, On Fire
The National, Tropic Morning News
David Bowie, Survive (Live Manhattan Ctr ‘99
PJ Harvey, Come On Billy
Mark Hamilton, John Lennon.#9Dream
Swans, God Damn The Sun
St Vincent, Hombre Roto
Minutemen, History Pt2
Sparks, The Girl Is Crying In Her Latte
Devo, Total Love
Mannequin Pussy, Loud Bark
Pixies, Motoroller
ROky Erickson, I Think Of Demons
Jack White, Death Wish
QOTSA, God Is On The Radio
Willie Nelson, Do You Realize
Otis Redding, Cigarettes and Coffee
Tragically Hip, Wait So Long
Longwave, Tidal Wave
Grace Jones, Hurricane
MAssve Attack, Unfinished…edit
Thundercat, Show You The Way (f. Flying Lotus, Michael McDonald &amp; Kenny Loggins)
Boz Scaggs, Lowdown
The B-52's, Topaz
Metric, Help, I'm Alive
Elf Power, Ten Dollars on the Ground
Elvis Costello, (The Angels Wanna Wear My) Red Shoes
Steely Dan &amp; Tom Scott, Peg
Beastie Boys, Putting Shame In Your Game (Prunes Remix)
Devo, Girl U Want (Black Light Odyssey Mix)
The Knife, Heartbeats
Sofi Tukker, Best Friend (feat. NERVO, The Knocks &amp; Alisa Ueno)
Kalima, Black Water
The Durutti Column, Future Perfect
Queen, I Want to Break Free (Single Remix)
Joy Division, Shadowplay
Bob Marley, Waiting In Vain
Iggy &amp; The Stooges, Gimme Danger
Captain Beefheart, Her Eyes Are a Blue Million Miles
Sonic Youth, Sugar Kane
Butthole Surfers, Pepper
Poolside, And the Sea (Daniel T. Remix)
Gary Clail, Bad Natured
Paul Hardcastle, Just for Money (Make or Break Version)
The Art Of Noise, Paranoimia (7" Mix, Featuring Max Headroom)
Ghost, Dance Macabre (Carpenter Brut Remix)
U2, Where the Streets Have No Name
Pixies, Debaser
Handsome Furs, Passport Kontrol
"Weird Al" Yankovic, Spatula City
Marlon Brando, The Hollow Men
Leonard Cohen, Everybody Knows
Undisputed Truth, Smiling Faces Sometimes
Black Pumas, Politicians in My Eyes
The The, Slow Emotion Replay
Engelbert Humperdinck, A Man Without Love
The Smiths, Money Changes Everything
Leonard Nimoy, Music to Watch Space Girls By
They Might Be Giants, Everything Right Is Wrong Again
Stiff Little Fingers, State Of Emergency
Minutemen, Maybe Partying Will Help
The Memories, End of the World
XTC, Dear God
The Burning Hell, Fuck the Government, I Love You
Pixies, Wave Of Mutilation (UK Surf)
Sean Pratt, Raise The Pole (Short)
Hallelujah The Hills, Transparent Chart of the Heavens
Elliott Smith, A Distorted Reality Is Now A Necessity To Be Free
Nine Inch Nails, Help Me I Am In Hell
A Tribe Called Quest, We the People....
Run The Jewels, Lie, Cheat, Steal
David Bowie, I'm Afraid of Americans (V1 Radio Edit)
President Barack Obama, Democracy Is Weakened
Cosmonauts, Doom Generation
Gil Scott-Heron, The Revolution Will Not Be Televised
Nina Simone, Break Down and Let It All Out
Ministry, TV II
Saul Williams, List Of Demands (Reparations)
LCD Soundsystem, Movement
The Clash, The Guns of Brixton
The Police, King of Pain
Brian Eno, Deep Blue Day
Re-Flex, The Politics Of Dancing
Yaz, Situation (Richard X Remix)
The Disco Boys, Hold the Line (Radio Edit feat. Toto)
DJs From Mars, Enter Telephone
Iggy &amp; The Stooges / Salt-N-Pepa, No Fun / Push It
The Grid, Swamp Thing
Darude, Sandstorm
DMX, X Gon' Give It To Ya
KRS-One, Sound of da Police
A Tribe Called Quest, Buggin' Out
Ghost, Jesus He Knows Me
Bon Jovi, Raise Your Hands
Darude, Sandstorm
Daft Punk, Human After All
LCD Soundsystem, Daft Punk Is Playing At My House (Soulwax Shibuya Mix)
New Order, Confusion (The Pump Panel Reconstruction Remix)
Prince &amp; The Revolution, America
The City of Prague Philharmonic Orchestra, Dr. Strangelove: The Bomb Run
Superchunk, What A Time To Be Alive
Hallelujah The Hills, People Keep Dying (And No One Can Stop It)
Chuck Mangione, Cannonball Run Theme
Abbie Barrett, I Will Let You Know
Polly Cutter, One Day At A Time
Public Enemy, Fight The Power
The Tragically Hip, In View
Tom Petty &amp; The Heartbreakers, Mary Jane's Last Dance
The The, Helpline Operator
The Cranberries, Linger
Buffalo Tom, Summer
U2, Zooropa
Leonard Cohen, The Future
Peter Gabriel, Sledgehammer
Eleanor Friedberger, Roosevelt Island
Pixies, Crackity Jones
The Alan Parsons Project, Sirius
Ritchie Valens, La Bamba
Helado Negro, There Must Be a Song Like You
Ric Wilson &amp; Yellow Days, Life's Been Good To Me
Aaliyah, Got To Give It Up (feat. Slick Rick)
The Shindellas, Paradise
Gloria Jones, Tainted Love
Gabriels, Love and Hate in a Different Time (Radio Edit)
79.5, My Dream
The Growlers, Night Ride
Brandy, I Wanna Be Down (feat. MC Lyte, Queen Latifah &amp; Yo-Yo)
Yola, Starlight
Norma Fraser, First Cut Is the Deepest
Natalie Bergman, Glory Hallelujah, I'm Gonna Fly Home Soon
rum.gold, Waiting For (feat. Jamila Woods)
Lonely Guest, Move Me (feat. Marta)
Erykah Badu, Gone Baby, Don't Be Long
Cat Power, Bad Religion
sam evian, Knock Knock
Hamilton Leithauser &amp; Kevin Morby, Virginia Beach
INXS, Beautiful Girl (Mendelsohn version)
Nathaniel Rateliff &amp; The Night Sweats, Face Down In The Moment
Joe Hicks, Could It Be Love
Prince, International Lover
Bobby Oroza, Make Me Believe
Arooj Aftab, Last Night
SWV, I'm So Into You
L'Rain, Find It
Marian Hill, I Wanna Dance with Somebody (Who Loves Me)
Alabama Shakes, Joe
Carla Thomas, A Love of My Own
Michael K. Miller, Solid Gold Theme (Season 1 Opening)
Missy Elliott, Work It
DJ Funk, Work It
Dance System, Work It (feat. DJ Deeon)
Fantastic Plastic Machine, L'Aventure Fantastique
Alexandra Stan, Mr. Saxobeat
Simian Mobile Disco, Hustler
Sampa the Great, OMG
Shamir, On the Regular
Janelle Monáe, Tightrope (feat. Big Boi)
Micky &amp; Sylvia, Love is Strange
Gillian Hills, Tut Tut Tut Tut
Letters To Cleo, I Want You To Want Me
The Kinks, You Really Got Me
Santana, Oye Come Va
Marc Ribot &amp; Los Cubanos Postizos, Choserito Plena
Rosemary Clooney, Mambo Italiano
Shakira, Hips Don't Lie (feat. Wyclef Jean)
Gloria Estefan, Conga (feat. Miami Sound Machine)
Britney Spears, Toxic
Daft Punk, Harder, Better, Faster, Stronger
Azealia Banks, 212 (feat. Lazy Jay)
Rihanna, Only Girl (In The World)
Icona Pop, I Love It
L'Impératrice, I Wanna Dance With Somebody (Who Loves Me)
Stevie Wonder, Sir Duke
DOOPEES, DOOPEE TIME
Outkast, Dracula's Wedding (feat. Kelis)
Prince, D.M.S.R.
Sister Sledge, Il Macquillage Lady
Majestic, Boney M., Rasputin
Right Said Fred, I'm Too Sexy
Lidell Townsell, Get With U
Donna Summer, I Feel Love
Beyoncé, Countdown
Spongebob Squarewave, Whitney Riddim
Beowülf, Flakkë, Habanera
Melena Ernman, La Voix (feat. Fredrik Kempe)
Bob &amp; Earl, Harlem Shuffle
Bernard Estardy, Cha Tatch Ka
The Budos Band, Black Venom
Keith Mansfield, Powerhouse Pop
Parquet Courts, Wide Awake
Le Tigre, Deceptacon
We Have Band, You Came Out
The Slits, I Heard It through The Grapevine
CSS, Let's Make Love and Listen to Death From Above
The Timelords, Doctorin' The Tardis
Deodato, Theme From Star Trek
Information Society, What's On Your Mind (Pure Energy)
Herbie Hancock, Rockit
SNAP!, The Power
James Brown, Papa's Got A Brand New Bag
Yello, Oh Yeah
Usher, Yeah! (feat Lil Jon &amp; Ludacris)
Big Freedia, Booty-Whop
Sudan Archives, NBPQ (Topless)
Olga Bell, Roandomness
FWLR, JELO, Packin Heat
The Knife, Like A Pen
Cakes da Killa, Don Dada (feat. Proper Villains)
Nicki Minaj, Starships
LMFAO, Party Rock Anthem
Basement Jaxx, Where's Your Head At
New Order, Bizarre Love Triangle
Dead Or Alive, You Spin Me Round (Like a Record)
LION BABE, Hot In Herre
Sjaak, Trompetisto
Dev, In The Dark
La Rappresentante Di Lista, Ciao Ciao
Chairlift, I Belong In Your Arms
Jan, Fred Rogers
CHVRCHES, Never Ending Circles
Dan Deacon, Change Your Life (You Can Do It)
Limahl, Never Ending Story
Dirtwire, Cantaloupe
Morcheeba, A Well Deserved Break
HALF SHELL RECORDS, Las Margaritas
Flamingosis, Never a Coincidence
Bold Parade, Two Leaves Falling (feat. Rose White)
Emma-Jean Thackray, Black Hole (feat. Reggie Watts)
Lionel Hampton, Killer Joe
Pizzicato Five, Ohayô
Hideo Shiraki, Groovy Samba
One More Grain, The Barn Dance
Morphine, Kerouac
Jack Kerouac, Charlie Parker (feat Steve Allen)
Charlie Parker Quartet, Now's the Time
Greyson Streed, Future World
Mahealane and PRNDL, The Whales
Medeski Martin &amp; Wood, Whatever Happened To Gus?
Malcolm Jiyane Tree-O, Peter's Torch
Forest Law, Niceties
BADBADNOTGOOD, Take Me With You
Mulatu Astatke &amp; Hoodna Orchestra, Delilah
Manu Dibango, Camp Yabassi Echoes
Toulouse, It Always Happens This Way
David Bowie, Fascination
Beastie Boys, Off The Grid
Flying Lotus, Garmonbozia
Dave Guy, 7th Heaven
Sleeping Dogs, 去北戴河
Ginger Root, Loretta (日本語 version)
Snarky Puppy, Grown Folks
Noun, Wanted
Miracle Debt, Lurking Toward
Marbled Eye, Wear Me Down
High Vis, Fill the Gap
Artificial Go, Reality Does
Scuba Cop, Decide To Hide
Smaris, Marble Orchard
Workers Comp, High On The Job
Former Mormon, Fragility
Bloodstains, Stray Bullets
Djunah, Mirrors For Narcissists
Charley Bliss, Glitter
Shirise, Mellow Rise Hill Rd
Heavy Lag, Time Was Never On My Side
Rotura, En El Tiempo
Shipping News, Morays Or Demon
The Dream Academy, Life In A Northern Town
Dolly Parton, Here You Come Again
Mission Of Burma, All World Cowboy Romance
America, Tin Man
The Drums, Days
Luna, California (All The Way)
The Jamies, Summertime, Summertime (Single Version)
Ramones, California Sun
The Sunrays, I Live For The Sun
The Flowerpot Men, Beat City
Gorillaz, Dirty Harry
Zap Mama, Rafiki (DNA Remix)
M.I.A., Paper Planes (Afrikan Boy &amp; Rye Rye Remix)
Róisín Murphy, Murphy's Law
Frida, I Know There's Something Going On
Incredible Bongo Band, In A Gadda Da Vida
The Shamen, Ebeneezer Goode (Beat Edit)
Underworld, Cowgirl
Moby, Feeling So Real
The Chemical Brothers, Galaxy Bounce
Yello, The Race
Lipps, Inc., Funkytown (Single Version)
Hanni El Khatib, Two Brothers (Holy Ghost! Remix)
Stardust, Music Sounds Better With You
Everything But the Girl, Missing (Todd Terry Remix)
Laid Back, White Horse (U.S. Edit)
Melle Mel, White Lines (Edit)
Grandmaster &amp; Melle Mel, White Lines (Don't Don't Do It) (Elite Force Mix)
LCD Soundsystem, Tribulations
Baricentro, Tittle Tattle (Twice)
Peter Fernandez and Keith Messier, Popcorn
Air, Kelly Watch The Stars
Michael Jackson, Off The Wall [Edit]
!!!, Heart of Hearts
Candi Staton, Young Hearts Run Free
Prince, Sign O' The Times
Kygo &amp; Whitney Houston, Higher Love
New Order, Spooky
Pet Shop Boys, Always On My Mind
Eddi Cole, O Happy Day
Chuck Mangione, Cannonball Run Theme
Placebo, Pure Morning
Oingo Boingo, Dead Man's Party (Edit)
Class Actress, Weekend
Orbital, Halcyon + On + On
Stevie Nicks, Edge of Seventeen
Monty Python, Crunchy Frog
Jim's Big Ego, Stress
The Dead Milkmen, Big Lizard In My Backyard
The Dickies, Make It So
Captain Tractor, #3 Roxburgh Street
The Dollyrots, American Girl
Cheap Trick, Dream Police
The Dreaded Laramie, Tell Me
The Replacements, Left Of The Dial
Kurt Vile &amp; The Violators, Guns of Brixton
The Ramones, Sheena Is A Punk Rocker [Single Version]
The Ducky Boys, Break Me
Gogol Bordello, Immigrant Punk (Demo)
Dropkick Murphys, World Full of Hate
The Killigans, Martyrs Of The Lower Middle Class
Flatfoot 56, Standin For Nothing
Frank Turner, Haven't Been Doing So Well
Hanson Brothers, Tranquil
Hypernova, Viva La Resistance
Relient K, Doctor Worm
The Gaslight Anthem, We Came to Dance
The Hold Steady, Constructive Summer
The Lawrence Arms, Fireflies
Laura Jane Grace &amp; the Devouring Mothers, Apocalypse Now (&amp; Later)
Bad Cop/Bad Cop, Like, Seriously?
The Mountain Goats, Damn These Vampires
Pixies, Greens and Blues
The Cure, Letter to Elise
The Rheostatics, King of the Past
The Weakerthans, Sun In An Empty Room
Stars, In Our Bedroom After the War
David Bowie, Life On Mars?
Pink Floyd, Brain Damage / Eclipse
Charlie Chaplin, Speech From “The Great Dictator”
Garbage, Bleed Like Me (acoustic)
The Cure, Endsong
The Pretenders, Time The Avenger
The Fixx, Saved By Zero
Fencer, All I Do
Fishbone, RxPxOxS
Public Image Ltd, Rise
Shutter Orbs, Tahitian Moon
Porno For Pyros, Tahitian Moon
Jack White, You Got Me Searching
Black Keys, Sin City
Jack Kays, Sleep When I'm Dead
Guns &amp; Roses, Mr Brownstone
Dash Rip Rock, Let's Go Smoke Some Pot
Tai Verdes, Drugs
THOT Squad, Hoes Depressed
Body Count ft David Gilmour, Comfortably Numb
Skating Polly, I'm Sorry For Always Apologizing
Nine Inch Nails, March Of The Pigs
Thin Lizzy, Jailbreak (live)
AC-DC, Jailbreak (live)
The Rolling Stones, When The Whip Comes Down (live)
The Doors, Gloria (live)
The Linda Linda's, Exscuse Me
The Linda Linda's, Resolution Revolution
The Linda Linda's, No Obligation
Jefferson Airplane, Volunteers
? and the Mysterians, 96 Tears
Public Enemy, Terminator X to the Edge of Panic
The Muppet Show, Pigs in Space
Doug Adams and Kirk McElhearn, The Next Track No. 295
Sponge, Fade Into You
No-Man, Animal Ghost
King Crimson, Sheltering Sky
Peter Gabriel, No Self Control
Man Man, Hurly / Burly
Doug Adams and Kirk McElhearn, The Next Track Podcast Out
LCD Soundsystem, pulse (v.1)
Chromatics, Shadow (Runaway Instrumental)
The Midnight, America Online (Instrumental)
Andreas Vollenweider, Belladonna
Yanni, Looking Glass
Vangelis, Message
The Sven Libaek Orchestra, Walkthrough
Dan Deacon, Bumble Bee Crown King
Mike Oldfield, Taurus 1
Ryuichi Sakamoto, The Last Emperor
Brian Wilson, Surfs Up
Víkingur Ólafsson, Études: No. 20
Max Richter, On the Nature of Daylight (Piano Version)
Jean-Michel Blais, CFCF, In a Landscape (Rework)
Angelo Badalamenti, Twin Peaks Theme
Masato Nakamura, Sth1 Special Stage (Mega Drive Version)
DIIV, (Druun)
The Drums, Obvious
Juliana Hatfield, Secret Messages
Cloud Nothings, Psychic Trauma
Lifeguard, In The City
Squirrel Flower, Alley Light
Squid, Houseplants
Together Pangea, Lost
Lush, For Love
Twen, Seastar
Beeef, Nice Clean Shirt
Deerhunter, Oh, It's Such A Shame
Japanther, Porcupine
The Jesus Lizard, Cost of Living
SPRINTS, Feast
TV Priest, Lifesize
Times New Viking, Fuck Her Tears
bar italia, drumstart
Screaming Females, Bell
Steve Carlisle, WKRP In Cincinnati Main Theme (Full)
Pavement, Gold Soundz
The Modern Lovers, Roadrunner
R.E.M., Underneath The Bunker (Instrumental Loop)
Pixies, Debaser
The Kinks, Ev'rybody's Gonna Be Happy
The Cars, You're All I Got Tonight (Demo)
XTC, This Is Pop?
Devo, Through Being Cool
R.E.M., Radio Free Europe (Original Hib-Tone Single)
Harry Nilsson, Gotta Get Up
The Stone Roses, Made of Stone
The Third Rail, Run, Run, Run
David Bowie, Rebel Rebel
Neil Norman, Buckaroo Banzai
Rush, The Spirit of Radio
Schtum, Skydiver
A Tribe Called Quest, Buggin' Out
Public Enemy, 911 Is a Joke
Dis N' Dat, Party (feat. 69 Boyz &amp; Quad City D.J.'s)
Prince &amp; The Revolution, America
The Winners, Get Ready for the Future
Lexsoul Dancemachine, Beef Grinder
LCD Soundsystem, tonite
PHO, Kodesh
The Moody Blues, Your Wildest Dreams
Barry &amp; The Remains, Don't Look Back
Soundgarden, Rusty Cage
Jimi Hendrix, Manic Depression
The Rolling Stones, 19th Nervous Breakdown
The Breeders, Cannonball
Cracker, Get Off This
Liz Phair, Supernova
The Doors, Peace Frog (Instrumental)
Talking Heads, Once In A Lifetime
The Jam, Town Called Malice
The Clash, Hateful
Buzzcocks, Ever Fallen in Love (With Someone You Shouldn't've)
Freezepop, Less Talk More Rokk
Bearstronaut, Passenger Side
LCD Soundsystem, Dance Yrself Clean (Blutarski Slave To The Rhythm Mix)
Chuck Mangione, Cannonball Run Theme
Asia, Heat of the Moment
Boston, More Than a Feeling
Bruce Springsteen, Thunder Road
INXS, Devil Inside
Marlon Brando, The Hollow Men
Leonard Cohen, Everybody Knows
Undisputed Truth, Smiling Faces Sometimes
Black Pumas, Politicians in My Eyes
The The, Slow Emotion Replay
Engelbert Humperdinck, A Man Without Love
The Smiths, Money Changes Everything
Leonard Nimoy, Music to Watch Space Girls By
They Might Be Giants, Everything Right Is Wrong Again
Stiff Little Fingers, State Of Emergency
Minutemen, Maybe Partying Will Help
The Memories, End of the World
XTC, Dear God
The Burning Hell, Fuck the Government, I Love You
Pixies, Wave Of Mutilation (UK Surf)
Sean Pratt, Raise The Pole (Short)
Hallelujah The Hills, Transparent Chart of the Heavens
Elliott Smith, A Distorted Reality Is Now A Necessity To Be Free
Nine Inch Nails, Help Me I Am In Hell
A Tribe Called Quest, We the People....
Run The Jewels, Lie, Cheat, Steal
David Bowie, I'm Afraid of Americans (V1 Radio Edit)
President Barack Obama, Democracy Is Weakened
Cosmonauts, Doom Generation
Gil Scott-Heron, The Revolution Will Not Be Televised
Nina Simone, Break Down and Let It All Out
Ministry, TV II
Saul Williams, List Of Demands (Reparations)
LCD Soundsystem, Movement
The Clash, The Guns of Brixton
The Police, King of Pain
Brian Eno, Deep Blue Day
Re-Flex, The Politics Of Dancing
Yaz, Situation (Richard X Remix)
The Disco Boys, Hold the Line (Radio Edit feat. Toto)
DJs From Mars, Enter Telephone
Iggy &amp; The Stooges / Salt-N-Pepa, No Fun / Push It
The Grid, Swamp Thing
Darude, Sandstorm
DMX, X Gon' Give It To Ya
KRS-One, Sound of da Police
A Tribe Called Quest, Buggin' Out
Ghost, Jesus He Knows Me
Bon Jovi, Raise Your Hands
Darude, Sandstorm
Daft Punk, Human After All
LCD Soundsystem, Daft Punk Is Playing At My House (Soulwax Shibuya Mix)
New Order, Confusion (The Pump Panel Reconstruction Remix)
Prince &amp; The Revolution, America
The City of Prague Philharmonic Orchestra, Dr. Strangelove: The Bomb Run
Superchunk, What A Time To Be Alive
Hallelujah The Hills, People Keep Dying (And No One Can Stop It)
Chuck Mangione, Cannonball Run Theme
Abbie Barrett, I Will Let You Know
Polly Cutter, One Day At A Time
Public Enemy, Fight The Power
Toadies, Possum Kingdom
Belle &amp; Sebastian, Is It Wicked Not To Care?
Nirvana, (New Wave) Polly
The Standells, Sometimes Good Guys Don't Wear White
Wet Leg, Oh No
Happy Mondays, Wrote for Luck
The Strokes, What Ever Happened?
MJ Lenderman, On My Knees
Matthew Sweet, Sick of Myself
Jenny O., Come Get Me
The Beaches, Jocelyn
Allie X &amp; Empress Of, Galina
LCD Soundsystem, All I Want (London Session)
Men I Trust, Husk
Brainstory, Nobody But You
Don Covay &amp; The Goodtimers, Come See About Me
El Michels Affair, Snakes (feat. Lee Fields)
Kelly Finnigan, My Love Is For You
The Beach Boys, Here She Comes
Yellow Days, Gap in the Clouds
Cults, Cells
Chappell Roan, Picture You
Sade, Cherish the Day
FKJ &amp; ((( O ))), Vibin' Out
Alice Phoebe Lou, The World Above
New Order, Age of Consent
Nemahsis, coloured concrete
The Marías, Heavy
Nilüfer Yanya, Just A Western
Leon Bridges, That's What I Love
The Kills, Happier Than Ever
Devon Again, Sunburn
Ethel Cain, For Sure
Suki Waterhouse, Model, Actress, Whatever
These Stains Are Who I Am, programme theme
Pigs Pigs Pigs Pigs Pigs Pigs Pigs, Detroit
KMFDM, A Drug Against War
Nine Inch Nails, Physical (You're So)
Death from Above 1979, Turn It Out
Revolting Cocks, Crackin' Up
Metric, Dead Disco
Pat Fleet, pat fleet drop (telephone)
clipping., Keep Pushing
Kim Deal, Nobody Loves You More
Madonna, Borderline
Cyndi Lauper, Time After Time (Bent Collective)
Daft Punk, Around the World
The Chemical Brothers, Block Rockin' Beats
100 gecs, Hollywood Baby
Taylor Swift, Bad Blood (Taylor's Version) [feat. Kendrick Lamar]
LCD Soundsystem, x ray eyes
Olivia Newton-John, Xanadu (feat. Electric Light Orchestra)
Peeping Tom, Don't Even Trip (feat. Amon Tobin)
AC/DC, Thunderstruck
Queen, Brighton Rock
David Bowie, Let's Spend the Night Together
Electric Light Orchestra, Mr. Blue Sky
The Kills, Sour Cherry
HEALTH, Be Quiet and Drive (Far Away)
Suzanne Vega Feat. Joe Jackson, Left Of Center
HParty 2011, BOOONUUUSSSS TRAAAACCCCKKKK (live)
T. Rex, Cosmic Dancer
Smashing Pumpkins, Drown
38 Special, Hold On Loosely
The Sweet, Love Is Like Oxygen
Asia, Only Time Will Tell
Steve Perry, Oh Sherrie
Scandal, The Warrior
Rush, The Spirit of Radio
Sugar, Hoover Dam
Inspiral Carpets, Two Worlds Collide
Screaming Trees, All I Know
Superchunk, What A Time To Be Alive
Hollie Cook, Full Moon Baby
Alvvays, Pharmacist
Stereolab, Emperor Tomato Ketchup
Mitski, The Only Heartbreaker
Romy &amp; Fred again.., Strong
Carly Rae Jepsen, Run Away with Me
Maggie Rogers, Want Want
Monaco, What Do You Want From Me?
War, Low Rider
Willie Bobo &amp; Dan The Automator, Fried Neck Bones and Some Home Fries (Dan the Automator Remix)
Daryl Hall &amp; John Oates, I Can't Go for That (No Can Do)
De La Soul, Say No Go (New Keys Vocal)
Ice Cube, That New Funkadelic
Mahjongg, Hot Lava
Diablogato, Lost Highway
Black Black Hills, Red Cabin
Japandroids, Near To The Wild Heart Of Life (Edit)
Corinne Bailey Rae, New York Transit Queen
Molly Horses, Beatty
Yard Act, Dream Job
Day Wave, Drag
Best Coast, The Only Place
Ramones, Rockaway Beach
Beach Slang, Spin The Dial
Death, Politicians in My Eyes
La Peste, Better Off Dead
Lyres, Help You Ann
Barry &amp; The Remains, Why Do I Cry
Buffalo Tom, Sodajerk
Noah and the Whale, Love Of An Orchestra
Matt &amp; Kim, Daylight
Bombay Bicycle Club, Shuffle
Electric Guest, This Head I Hold
Creedence Clearwater Revival, Up Around the Bend
The Rolling Stones, Country Honk
Tom Petty, You Don't Know How It Feels
Luka Bloom, The Acoustic Motorbike
Bleached, Awkward Phase
Iggy Pop, Billy Is a Runaway
Letters To Cleo, Demon Rock
The Rolling Stones, Happy
Sponge, Supersonic
Midge Ure, Wastelands
Propellerheads &amp; Shirley Bassey, History Repeating
The B-52's, Strobe Light
Collective Soul, New Vibration
The Neighbor'hoods, Yeah You
Shed Seven, Let It Ride
David Byrne, Don't Fence Me In
Black Grape, Kelly's Heroes
Elastica, Annie
The Who, Love Ain't for Keepin'
